민방위대피시설명,민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,관리기관명,데이터기준일자
유니팜코리아 지하주차장,유니팜코리아 지하주차장,"서울특별시 송파구 오금로 420 (가락동, 한라산업개발빌딩)",,37.49699021,127.1362765,862,1044,Y,서울특별시 송파구청,2021-09-14
위너스 빌딩2,위너스 빌딩2,서울특별시 송파구 백제고분로 67 (잠실동),,37.51079178,127.0789479,1584,1920,Y,서울특별시 송파구청,2021-09-14
위너스 빌딩1,위너스 빌딩1,서울특별시 송파구 백제고분로 63 (잠실동),,37.5110477,127.0788848,2880,3490,Y,서울특별시 송파구청,2021-09-14
서일빌딩,서일빌딩,"서울특별시 송파구 올림픽로 102 (잠실동, 서일빌딩)",,37.51142403,127.0819617,2970,3600,Y,서울특별시 송파구청,2021-09-14
올림피아 빌딩 주차장,올림피아 빌딩 주차장,"서울특별시 송파구 백제고분로 75 (잠실동, 올림피아)",,37.50996632,127.0791552,8497,10299,Y,서울특별시 송파구청,2021-09-14
해태그린피아 빌라트,해태그린피아 빌라트,서울특별시 송파구 위례성대로 38 (방이동),,37.515691,127.1164976,2720,3296,Y,서울특별시 송파구청,2021-09-14
해동빌딩,해동빌딩,"서울특별시 송파구 백제고분로50길 12 (방이동, 해동빌딩)",,37.51397597,127.1160154,800,969,Y,서울특별시 송파구청,2021-09-14
아이코리아 지하주차장,아이코리아 지하주차장,"서울특별시 송파구 충민로6길 17 (장지동, 아이코리아)",,37.48275686,127.1340437,2211,2680,Y,서울특별시 송파구청,2021-09-14
거여1동현대1차아파트,거여1동현대1차아파트,"서울특별시 송파구 오금로54길 10 (거여동, 현대아파트)",,37.49361482,127.1410695,5573,6755,Y,서울특별시 송파구청,2021-09-14
대신빌딩,대신빌딩,"서울특별시 송파구 백제고분로 364 (석촌동, 대준빌딩)",,37.50459255,127.1068446,1980,2400,Y,서울특별시 송파구청,2021-09-14
아남아파트,아남아파트,"서울특별시 송파구 마천로35길 18 (마천동, 마천동아남아파트)",,37.5004636,127.1460719,2611,3164,Y,서울특별시 송파구청,2021-09-14
거여2동주민센터,거여2동주민센터,"서울특별시 송파구 거마로2길 19 (거여동, 거여2동주민센터)",,37.49353933,127.1468274,400,484,Y,서울특별시 송파구청,2021-09-14
현대2차아파트 201동 지하주차장,현대2차아파트 201동 지하주차장,"서울특별시 송파구 오금로61길 20 (거여동, 현대아파트)",,37.49475788,127.1465177,1400,1696,Y,서울특별시 송파구청,2021-09-14
수협중앙회,수협중앙회,"서울특별시 송파구 오금로 62 (신천동, 수협중앙회빌딩)",,37.51638252,127.1054768,4292,5202,Y,서울특별시 송파구청,2021-09-14
가락한신아파트,가락한신아파트,"서울특별시 송파구 송파대로 220 (가락동, 가락한신아파트)",,37.48987023,127.1216273,2739,3320,Y,서울특별시 송파구청,2021-09-14
문정1차현대아파트 지하주차장,문정1차현대아파트 지하주차장,"서울특별시 송파구 송파대로20길 28 (문정동, 문정현대아파트)",,37.48569592,127.1258764,2970,3600,Y,서울특별시 송파구청,2021-09-14
태문빌딩,태문빌딩,"서울특별시 송파구 백제고분로 365 (석촌동, 태문빌딩)",,37.50526699,127.1062981,2247,2723,Y,서울특별시 송파구청,2021-09-14
백암빌딩,백암빌딩,"서울특별시 송파구 중대로 150 (가락동, 백암빌딩)",,37.49549685,127.124382,512,620,Y,서울특별시 송파구청,2021-09-14
"송파구의회,구민회관 지하주차장","송파구의회,구민회관 지하주차장","서울특별시 송파구 백제고분로 242 (삼전동, 송파구의회및구민회관)",,37.50235857,127.0934919,2970,3600,Y,서울특별시 송파구청,2021-09-14
서울아산병원 동관 지하주차장,서울아산병원 동관 지하주차장,"서울특별시 송파구 올림픽로43길 88 (풍납동, 서울아산병원)",,37.5251582,127.1095256,48576,58800,Y,서울특별시 송파구청,2021-09-14
동아한가람아파트 지하주차장,동아한가람아파트 지하주차장,서울특별시 송파구 한가람로 448 (풍납동),,37.53750369,127.1152281,3097,3753,Y,서울특별시 송파구청,2021-09-14
동아상가 지하,동아상가 지하,"서울특별시 송파구 한가람로16길 7 (풍납동, 동아한가람아파트)",,37.53704917,127.1156574,660,800,Y,서울특별시 송파구청,2021-09-14
기영아파트,기영아파트,"서울특별시 송파구 마천로51길 27 (마천동, 기영아파트)",,37.49736323,127.1524982,653,791,Y,서울특별시 송파구청,2021-09-14
웅산빌딩,웅산빌딩,서울특별시 송파구 백제고분로 463 (방이동),,37.51190341,127.1125511,640,775,Y,서울특별시 송파구청,2021-09-14
장지동주민센터 지하,장지동주민센터 지하,"서울특별시 송파구 새말로19길 6 (문정동, 장지동주민센터)",,37.48696457,127.1324366,330,400,Y,서울특별시 송파구청,2021-09-14
두암빌딩,두암빌딩,"서울특별시 송파구 백제고분로 359 (석촌동, 두암빌딩)",,37.50509435,127.1059088,1782,2160,Y,서울특별시 송파구청,2021-09-14
5호선 올림픽공원역,5호선 올림픽공원역,"서울특별시 송파구 양재대로 지하 1233 (방이동, 올림픽공원역)",,37.51677475,127.131254,7689,9320,Y,서울특별시 송파구청,2021-09-14
마천역,마천역,"서울특별시 송파구 마천로57길 지하 7 (마천동, 마천역)",,37.49467125,127.1523208,5990,7260,Y,서울특별시 송파구청,2021-09-14
문정현대2차아파트 지하주차장,문정현대2차아파트 지하주차장,"서울특별시 송파구 송파대로16길 12 (문정동, 현대2차아파트)",,37.48418716,127.1246166,2690,3260,Y,서울특별시 송파구청,2021-09-14
