민방위대피시설명,민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,관리기관명,데이터기준일자
신원빌딩 지하주차장,신원빌딩 지하주차장,"서울특별시 송파구 석촌호수로 130 (삼전동, 신원빌딩)",,37.50719681,127.0913852,398,482,Y,서울특별시 송파구청,2021-09-14
송파파크데일1단지,송파파크데일1단지,"서울특별시 송파구 성내천로37길 37 (마천동, 송파파크데일1단지)",,37.49878666,127.1581012,3216,3898,Y,서울특별시 송파구청,2021-09-14
송파파크데일2단지,송파파크데일2단지,"서울특별시 송파구 성내천로47길 38 (마천동, 송파파크데일2단지)",,37.49633944,127.1581639,3520,4266,Y,서울특별시 송파구청,2021-09-14
가든파이브 라이프관,가든파이브 라이프관,"서울특별시 송파구 충민로 66 (문정동, 가든파이브라이프)",,37.47761304,127.1249629,37700,45696,Y,서울특별시 송파구청,2021-09-14
위례송파푸르지오 지하주차장,위례송파푸르지오 지하주차장,"서울특별시 송파구 위례광장로 185 (장지동, 위례신도시송파푸르지오 지하주차장)",,37.48020939,127.13976,2174,2635,Y,서울특별시 송파구청,2021-09-14
위례22단지 지하주차장,위례22단지 지하주차장,"서울특별시 송파구 위례광장로 163 (장지동, 위례22단지)",,37.4796693,127.1393248,4510,5466,Y,서울특별시 송파구청,2021-09-14
위례24단지 지하주차장,위례24단지 지하주차장,"서울특별시 송파구 위례광장로 121 (장지동, 위례24단지)",,37.47686666,127.1382162,7168,8688,Y,서울특별시 송파구청,2021-09-14
서울동부지방법원,서울동부지방법원,"서울특별시 송파구 법원로 101, 서울동부지방법원 (문정동)",,37.48349301,127.1197536,1651,2001,Y,서울특별시 송파구청,2021-09-14
위례동주민센터 지하주차장,위례동주민센터 지하주차장,"서울특별시 송파구 위례광장로 210 (장지동, 위례동주민센터송파위례도서관 지하주차장)",,37.48116665,127.143936,394,477,Y,서울특별시 송파구청,2021-09-14
9호선 삼전역,9호선 삼전역,"서울특별시 송파구 백제고분로 지하 189 (잠실동, 삼전역)",,37.50432331,127.0880838,8644,10477,Y,서울특별시 송파구청,2021-09-14
석촌고분역,석촌고분역,"서울특별시 송파구 백제고분로 지하 274 (삼전동, 석촌고분역)",,37.50246395,127.0968848,6841,8292,Y,서울특별시 송파구청,2021-09-14
한성백제역,한성백제역,"서울특별시 송파구 위례성대로 지하 29 (방이동, 한성백제역)",,37.5163401,127.116114,8969,10871,Y,서울특별시 송파구청,2021-09-14
송파나루역,송파나루역,"서울특별시 송파구 백제고분로 지하 446 (방이동, 송파나루역)",,37.51035038,127.112232,7833,9494,Y,서울특별시 송파구청,2021-09-14
헬리오시티 지하주차장,헬리오시티 지하주차장,"서울특별시 송파구 송파대로 345, 103동 (가락동, 헬리오시티)",,37.49761178,127.1025328,507732,615432,Y,서울특별시 송파구청,2021-09-14
