민방위대피시설명,위도,경도,민방위대피시설면적,대피가능인원수,카운트
올림픽 선수 기자촌 아파트 지하주차장,37.50298927,127.1280813,264,320,6860.0
오금역,37.50226508,127.1278811,7781,9431,4932.0
개롱역,37.49781321,127.1351607,7167,8687,1101.0
보인고등학교,37.49757028,127.1395164,547,663,4378.0
현대아파트 중앙아케이드 상가,37.50639584,127.1273633,12870,15600,6959.0
송파도서관,37.499994,127.1348525,544,659,2336.0
서울곰두리체육센터,37.50049066,127.1354551,858,1040,11272.0
8호선 몽촌토성역,37.51762309,127.1124284,10160,12315,9627.0
올림픽베어스타운,37.51476216,127.1191204,3520,4266,5181.0
마천금호어울림1차아파트 지하주차장,37.4986437,127.154464,7613,9227,7838.0
우방아파트 지하주차장,37.50002356,127.1520603,8655,10490,3902.0
영빌딩 지하주차장,37.50500237,127.1079897,696,843,1833.0
호수임광아파트 지하주차장,37.5103443,127.1071378,2343,2840,4578.0
황제빌딩 지하주차장,37.50675304,127.1089468,396,480,2518.0
동원빌딩 지하 서울구국기도원,37.50300189,127.112117,1326,1607,4967.0
송파여성문화회관 지하주차장,37.5059306,127.1097327,10926,13243,3124.0
올림픽 프라자 상가 지하,37.5157262,127.1310621,5880,7127,1669.0
올림픽 선수 기자촌 아파트 지하주차장,37.51669171,127.1377105,21938,26591,6860.0
씨티극동아파트 지하주차장,37.53973553,127.1179064,6569,7962,2045.0
레이크팰리스아파트 지하주차장,37.50753416,127.0932133,13136,15922,1940.0
트리지움아파트 지하주차장,37.5080014,127.0902235,18182,22038,3731.0
갤러리아팰리스아파트 지하주차장,37.5106905,127.094199,3758,4555,5568.0
신구블레스 밸리아파트,37.51126984,127.1226709,6617,8020,3522.0
옥산크리스탈아파트,37.51221314,127.1235773,2343,2840,2802.0
한솔아파트 지하주차장,37.50408224,127.1052198,1556,1886,8417.0
어울림아파트,37.4923654,127.1430935,6507,7887,1159.0
송파노인종합복지관 지하 대강당,37.49866693,127.0948941,1644,1992,3215.0
가락 ID 타워,37.49358759,127.1200547,4622,5602,3561.0
가락 스타클래스,37.50287606,127.1261133,4070,4933,3013.0
송파동부센트레빌 아파트 지하주차장,37.5003995,127.1085711,6973,8452,7094.0
가락쌍용1차아파트,37.49469877,127.1292251,8177,9911,6578.0
잠실교회 별관,37.4945558,127.1314096,3056,3704,5539.0
문정래미안아파트 지하주차장,37.48920513,127.1302333,6716,8140,4698.0
문정프라자 지하주차장,37.49176258,127.1178445,37360,45284,6401.0
세계로교회,37.49627162,127.1521794,2992,3626,878.0
엘스아파트 지하주차장,37.51512435,127.078129,22485,27254,15352.0
리센츠아파트 지하주차장,37.51673418,127.0898901,22026,26698,20647.0
석촌씨티빌딩,37.51217021,127.1085836,2513,3046,4433.0
방이1동주민센터 지하1층,37.51097662,127.1239055,315,381,1620.0
